로그인이 안돼요, login
사용자 ID를 모르겠어요, login
사용자 ID를 잊어 버렸습니다, login
사용자 계정을 모르겠어요, login
비밀번호를 잊어버린것 같아요, login
패스워드를 잊어 버렸는데요, login
서비스 접속을 못하겠어요, login
로그인 하는 방법을 알 수 있을까요?, login
접속하는 방법을 알고 싶어요, login
서비스를 사용할 수 없는데요, login
사용자 등록을 하고 싶어요, register
등록하는 방법을 가르쳐 주세요, register
가입 하고 싶다, register
가입 방법을 가르쳐줘, register
계약하고 싶다, register
회원이 되고 싶은데요, register
계정 만들려면 어떻게 하나요?, register
계정 등록 방법을 알고 싶어요, register
어떻게 하면 서비스를 사용할 수 있나요, register
서비스를 사용하게 하고 싶어요, register
회원 등록하는 법을 알려주세요, register
가입 비용이 얼마인가요?,cost
한 달에 얼마인가요?,cost
가입비가 어떻게 되요?,cost
등록비는 무료인가요?,cost
가입비가 유료인가요?,cost
사용료는 얼마나 되나요?,cost
돈을 내야 되나요?,cost
매달 돈을 내야 하나요?,cost
한번만 돈을 내면 되나요?,cost
회비가 있는지 알려주세요,cost
